,name,price
0,Nike Air Max Plus,169.99
1,Nike Air Force 1 Crater FlyKnit,109.99
2,LeBron 18 Low « Summer Refresh »,159.99
3,LeBron 18,189.99
4,Nike Lebron 8 V/2 Low,179.99
5,PG 5,119.99
6,Nike Air Max Plus,169.99
7,Nike Air Force 1 LV8,109.99
8,Air Jordan 1 Mid,119.99
9,Air Jordan 1 Low,109.99
10,Jordan Delta 2,129.99
11,Jordan One Take II,99.99
12,Nike Air Force 1 '07,99.99
13,Nike Air Force 1 Low,109.99
14,Nike ZoomX Vaporfly Next% 2,249.99
15,Nike Air Zoom Pegasus 38,119.99
16,Nike Juniper Trail,79.99
17,Nike Pegasus Trail 2,129.99
18,Nike Air Max Plus 3,179.99
19,Nike Blazer Mid '77 Vintage,99.99
20,Nike Air Max Plus 3,179.99
21,Nike Air Max 270,149.99
22,Nike Air Max Plus,169.99
23,Jordan MA2 « Greatest Gift »,129.99
24,Air Jordan 11 CMFT Low,124.99
25,Nike Air Zoom Terra Kiger 7,139.99
26,Nike Revolution 5,54.99
27,Nike Air Max Plus,169.99
28,Nike Air Max 270,149.99
29,Nike Waffle One By You,129.99
30,Nike React Vision SE,129.99
31,Nike SB Zoom Verona Slip,74.99
32,Nike Air Force 1,129.99
33,Nike Air Max III,149.99
34,Air Jordan 1 Mid,119.99
35,KD Trey 5 IX,99.99
36,Nike Victory G Lite,79.99
37,Nike Air Zoom Infinity Tour,199.99
38,KD Trey 5 IX,99.99
39,Nike Romaleos 4,199.99
40,Nike Premier 2 Sala IC,79.99
41,Nike Air Max 90 G,139.99
42,Nike Air Tuned Max,169.99
43,Nike Air Zoom Pegasus 38,119.99
44,Nike Air Zoom Pegasus 38 FlyEase,119.99
45,Nike Air Zoom Pegasus 38 FlyEase,119.99
46,Nike Waffle One,99.99
47,Nike Waffle One,99.99
48,Nike Waffle One,99.99
49,Nike Waffle One,99.99
50,Nike Metcon 6,129.99
51,Nike React Metcon Turbo,149.99
52,Nike ZoomX SuperRep Surge,129.99
53,Nike Savaleos,119.99
54,Nike SuperRep Cycle,119.99
55,Nike Downshifter 11,59.99
56,Nike Air Zoom Tempo NEXT% FlyEase,199.99
57,Nike Air Zoom Tempo NEXT%,199.99
58,Nike Legend Essential 2,59.99
59,Nike Air Zoom SuperRep 2,119.99
60,Nike Air Max Alpha Trainer 4,79.99
61,Nike Savaleos,119.99
62,Nike Blazer Mid '77,99.99
63,Nike Air Force 1 '07 LV8,109.99
64,Nike Air Force 1 '07 LV8,109.99
65,Nike Blazer Low '77,89.99
66,Nike Air Zoom Pegasus 38 By You,149.99
67,Nike Space Hippie 01,129.99
68,Nike Air Pegasus '83,99.99
69,Nike Air Max 90 QS Laser,199.99
70,Nike Air Pegasus '83,99.99
71,Zion 1,119.99
72,Nike Air Zoom Victory Tour 2,219.99
73,Nike SB Zoom Blazer Mid Premium,109.99
74,Nike Air Zoom Victory Tour 2,219.99
75,Nike Cosmic Unity,149.99
76,Zion 1,119.99
77,Zion 1,119.99
78,Zion 1,119.99
79,Air Jordan 1 Hi FlyEase,159.99
80,Nike Victory G Lite,79.99
81,Air Jordan 11 CMFT Low,124.99
82,Air Jordan 11 CMFT Low,124.99
83,Nike React Vision,129.99
84,Nike Mercurial Vapor 14 Academy FG/MG,79.99
85,Nike Mercurial Superfly 8 Academy AG,89.99
86,Nike Mercurial Vapor 14 Academy IC,79.99
87,Nike Mercurial Superfly 8 Academy TF,89.99
88,Nike Mercurial Superfly 8 Academy IC,89.99
89,Nike Mercurial Vapor 14 Pro FG,139.99
90,Nike Mercurial Superfly 8 Academy MG,89.99
91,Nike Mercurial Vapor 14 Pro TF,119.99
92,Nike Mercurial Vapor 14 Academy TF,79.99
93,Nike Mercurial Vapor 14 Elite AG,249.99
94,Nike Air Force 1 '07,99.99
95,Air Jordan XXXV,184.99
96,NikeCourt Air Zoom GP Turbo,139.99
97,Nike Air Max 97,179.99
98,Nike React Tiempo Legend 8 Pro IC,109.99
99,Nike Air Force 1 High By You,139.99
100,Nike Vapor Edge Pro 360 By You,139.9
101,Nike Tanjun,64.99
102,Nike Alpha Huarache Elite 3 Mid By You,124.9
103,Nike Air Max 2090,149.99
104,Nike Air Force 1/1 Unlocked By You,189.9
105,Nike Air Max Zephyr,179.99
106,Nike React Miler 2 By You,149.99
107,Nike Air Zoom Pulse,119.99
108,Nike Air Max Plus III,179.99
109,Nike Wildhorse 7,119.99
110,Zoom Freak 2 « Play for the Future »,119.99
111,Nike Wearallday,64.99
112,Nike Air Presto,119.99
113,Nike Phantom GT Academy MG,79.99
114,Nike Air Max 90 Unlocked By You,169.99
115,Nike Air Max 1 By You,154.99
116,Nike SB Charge Suede,59.99
117,Nike Mercurial Superfly 8 Academy By You,109.9
118,Nike SB Zoom Blazer Low Pro GT,79.99
119,Nike Air Max 90,139.99
120,Nike Air Max 2090,149.99
121,Jordan « Why Not? »Zer0.4,139.99
122,Nike Phantom GT Elite Dynamic Fit 3D FG,289.99
123,Nike Tiempo Legend 8 Pro FG,129.99
124,Nike Air Zoom Alphafly NEXT% Eliud Kipchoge,309.99
125,NikeCourt Air Zoom Vapor Pro,119.99
126,Nike Alpha Huarache Elite 3 Low By You,119.9
127,Nike Blazer Mid '77 Suede,99.99
128,Nike Zoom Rize 2 By You,159.9
129,Nike Air Max Triax 96 SP,150.0
130,Nike Air Zoom-Type By You,179.99
131,Nike Tiempo Legend 8 Pro TF,109.99
132,Nike Air Zoom Tempo NEXT% By You,219.99
133,Kyrie 7 By You,149.9
134,Nike SpeedRep,84.99
135,Nike Phantom GT Elite By You,269.9
136,Nike Killshot SP,89.99
137,Nike Mercurial Dream Speed Superfly 8 Elite FG,289.99
138,Nike ZoomX Invincible Run Flyknit,179.99
139,Nike Phantom GT Elite By You,269.9
140,Nike Blazer Mid '77,99.99
141,Nike Mercurial Superfly 8 Elite By You,289.9
142,Nike Air Max Plus 2,179.99
143,Nike Killshot OG SP,90.0
144,Nike Air Max Plus,170.0
145,Nike Phantom GT Academy By You,99.9
146,LeBron Witness 5,99.99
147,Nike Air Max 90,139.99
148,Nike Blazer Low ’77 Vintage By You,109.99
149,NikeCourt Air Zoom Vapor Cage 4,149.99
150,Nike Phantom GT Elite By You,289.9
151,Nike Air Max Genome,169.99
152,Air Jordan 1 Low SE,119.99
153,NikeCourt Air Zoom Vapor Pro,119.99
154,Nike Venture Runner,64.99
155,Nike Victori One,24.99
156,Nike SB BLZR Court,64.99
157,Nike Air Max Bolt,89.99
158,Nike Air Force 1 '07,99.99
159,Nike Tiempo Legend 8 Elite FG,219.99
160,Jordan « Why Not? »Zer0.4 « Trust & Loyalty »,139.99
161,Nike Solarsoft 2,22.0
162,Nike Quest 3,74.99
163,Nike Air Max 270 G,149.99
164,Nike Air Max Exosense,124.99
165,Nike SB Zoom Stefan Janoski Canvas RM Premium,84.99
166,Nike Mercurial Superfly 8 Pro FG,149.99
167,Zoom Freak 2 By You,139.9
