,name,price
0,Baskets PUMA x MR DOODLE Future Rider,110.0
1,Baskets Wild Rider Layers,110.0
2,Baskets RS-Fast Mix,110.0
3,Baskets Wild Rider Layers,110.0
4,Baskets RS-Fast Mix,110.0
5,Baskets Mirage Tech,100.0
6,Baskets RS-Connect Mono,120.0
7,Baskets Mirage Tech,100.0
8,Baskets Mirage Tech,100.0
9,Baskets PUMA x MR DOODLE Ralph Sampson,100.0
10,Baskets RS-Fast Mix,110.0
11,Baskets Mirage Mox Mono,110.0
12,Baskets Mirage Tech,100.0
13,Baskets RS-Fast Mix,110.0
14,Baskets Wild Rider Layers,110.0
15,Baskets Mirage Mox Mono,110.0
16,Baskets Mirage Tech,100.0
17,Baskets Suede Bloc,90.0
18,Baskets Suede Bloc,90.0
19,Baskets Suede Bloc,90.0
20,Baskets Porsche Design Speedcat Pro pour Homme,450.0
21,Chaussures de football FUTURE Z 4.1 IT homme,55.0
22,Chaussures de football ULTRA 4.2 FG/AG homme,50.0
23,Chaussures de football ULTRA 1.2 Lazertouch FG/AG,200.0
24,Chaussures de football FUTURE Z 4.1 TT homme,55.0
25,Chaussures de football FUTURE Z 4.1 FG/AG homme,55.0
26,Chaussures de football FUTURE Z 1.1 Lazertouch FG/AG homme,200.0
27,Chaussures de football ULTRA 1.2 MxSG,210.0
28,Chaussures de football ULTRA 3.2 FG/AG homme,80.0
29,Chaussures de football FUTURE Z 1.1 MG homme,200.0
30,Chaussures de football FUTURE Z 2.1 FG/AG homme,130.0
31,Chaussures de football FUTURE Z 3.1 FG/AG homme,80.0
32,Chaussures de football FUTURE Z 3.1 MG homme,80.0
33,Chaussures de football ULTRA 3.2 TT homme,80.0
34,Chaussures de football ULTRA 3.2 IT homme,80.0
35,Chaussures de football ULTRA 2.2 FG/AG homme,130.0
36,Chaussure de foot PUMA ONE 20.4 IT pour homme,50.0
37,Chaussures de basket Disc Rebirth,145.0
38,Chaussure de basket RS-Dreamer Proto,125.0
39,Chaussures de golf PUMA x FIRST MILE IGNITE FASTEN8 homme,140.0
40,Baskets Suede Classic XXI,80.0
41,Baskets Suede Classic XXI,80.0
42,Chaussures de course SOFTRIDE Vital Clean homme,65.0
43,Baskets Mirage Tech,100.0
44,Basket Anzarun Lite,55.0
45,Baskets Suede Classic XXI,80.0
